Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
23,Juan Soriano,0,17,0,0,0,36,0,8/25/2024,27-002,es ESP,Leganés,,Las Palmas,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,17,33,51.5,0,0,0,0,0,524,401,3,3,100,9,9,100,5,21,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,33,36,0,0,0,36,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,GK,Match Report
24,Sergi,0,49,1,1,0,72,1,8/25/2024,32-127,es ESP,Leganés,,Las Palmas,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,49,60,81.7,0,1,0,0,2,1074,430,10,12,83.3,29,29,100,10,15,66.7,1,1,0,0,0,0,0,1,1,0,0,0,0,0,72,10,51,21,0,0,72,1,1,0,1,0,0,0,,0,1,0,1,2,3,7,0,0,0,0,1,0,DF,Match Report
25,Miguel,2,9,0,0,1,22,0,8/25/2024,24-357,es ESP,Leganés,,Las Palmas,es La Liga,W 2-1,Y,81,0,0,0,0,0,0,0,2,0,,0,0,12.2,0,9,14,64.3,0,0,1,0,1,156,38,4,6,66.7,3,3,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,6,15,5,22,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,1,0,0,1,0,FW,Match Report
26,Adrià Altimira,0,1,0,0,0,1,0,8/25/2024,23-150,es ESP,Leganés,,Las Palmas,es La Liga,W 2-1,N,4,0,0,0,0,0,0,0,0,,,0,,,0,1,1,100,0,0,0,0,0,10,9,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"DF,FW",Match Report
27,Javi Hernández,0,26,0,0,0,52,1,8/25/2024,26-115,es ESP,Leganés,,Las Palmas,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,26,39,66.7,0,1,0,0,1,388,98,18,23,78.3,6,8,75,2,6,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,5,21,19,12,2,52,1,1,1,0,0,0,0,,0,0,0,0,5,6,5,0,0,0,0,2,1,DF,Match Report
28,Valentin Rosier,0,30,1,0,0,52,3,8/25/2024,28-006,fr FRA,Leganés,,Las Palmas,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,30,39,76.9,1,2,2,0,3,513,193,15,16,93.8,13,17,76.5,1,2,50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,52,6,16,25,11,1,52,3,3,3,0,0,2,2,100,0,4,1,3,0,3,6,0,0,0,0,0,2,DF,Match Report
29,Diego,1,3,0,0,0,7,0,8/25/2024,24-129,es ESP,Leganés,,Las Palmas,es La Liga,W 2-1,N,9,0,0,0,0,0,0,0,1,0,0,1,100,11.7,0,3,3,100,0,1,0,0,0,47,1,1,1,100,2,2,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,3,3,2,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,FW,Match Report
30,Juan Cruz,1,4,0,0,0,11,0,8/25/2024,24-122,es ESP,Leganés,,Las Palmas,es La Liga,W 2-1,N,29,1,0,1,1,0,0,0,1,1,1,1,100,30.4,0,4,6,66.7,0,0,2,1,1,98,66,1,1,100,2,3,66.7,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,8,0,11,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,"FW,MF",Match Report
31,Dani Raba,2,10,3,0,0,27,3,8/25/2024,28-301,es ESP,Leganés,,Las Palmas,es La Liga,W 2-1,Y,61,0,0,0,0,0,1,1,2,0,0,1,50,33.9,0,10,16,62.5,1,2,1,0,2,212,64,2,5,40,6,6,100,2,4,50,3,2,0,0,0,0,1,0,0,0,0,0,0,0,27,0,2,12,14,4,26,3,2,0,3,0,1,2,50,1,2,0,2,2,5,1,0,0,0,0,1,0,"FW,MF",Match Report
32,Aritz Arambarri,0,27,0,0,0,41,0,8/25/2024,26-207,es ESP,Leganés,,Las Palmas,es La Liga,W 2-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,27,35,77.1,0,0,0,0,1,568,131,6,7,85.7,20,23,87,1,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,31,10,0,0,41,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,0,0,0,0,0,DF,Match Report
33,Yvan Neyou,2,39,0,0,1,48,0,8/28/2024,27-238,cm CMR,Leganés,@,Valladolid,es La Liga,D 0-0,Y,84,0,0,0,0,0,0,0,2,0,,0,0,33.8,0,39,41,95.1,0,5,0,0,4,773,137,12,12,100,21,22,95.5,5,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4,9,36,4,0,48,0,0,0,0,0,0,2,0,2,0,0,0,1,1,2,0,1,0,0,2,2,MF,Match Report
34,Seydouba Cissé,0,28,2,0,0,36,1,8/28/2024,23-200,gn GUI,Leganés,@,Valladolid,es La Liga,D 0-0,Y,65,0,0,0,0,0,0,0,0,,,0,,,0,28,30,93.3,1,1,0,0,1,466,48,11,12,91.7,15,15,100,1,1,100,2,1,1,0,0,0,0,0,0,0,0,0,0,0,36,1,3,26,7,1,36,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,MF,Match Report
35,Óscar Rodríguez Arnaiz,2,12,2,0,1,25,0,8/28/2024,26-061,es ESP,Leganés,@,Valladolid,es La Liga,D 0-0,N,45,0,0,0,0,0,0,0,2,0,0,1,50,34.6,1,12,20,60,1,0,1,0,2,207,25,4,5,80,7,9,77.8,1,3,33.3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,25,0,0,13,13,0,25,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,2,"MF,FW",Match Report
