Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
21,Oliver Baumann,0,31,1,0,0,38,0,2024-08-31,34-090,de GER,Hoffenheim,@,Eint Frankfurt,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,31,37,83.8,0,0,0,0,0,829,575,4,4,100.0,18,18,100.0,9,15,60.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,38,33,38,0,0,0,38,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
22,Jacob Bruun Larsen,2,7,1,0,0,15,1,2024-08-31,25-347,dk DEN,Hoffenheim,@,Eint Frankfurt,de Bundesliga,L 1-3,N,18,0,0,0,0,0,0,0,2,0.0,,0,0.0,30.0,0,7,10,70.0,0,0,0,0,1,140,42,3,3,100.0,1,1,100.0,2,4,50.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15,1,4,1,10,1,15,1,0,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,0,0,0,0,0,"FW,MF",Match Report
23,Adam Hložek,3,9,1,1,0,25,1,2024-08-31,22-037,cz CZE,Hoffenheim,@,Eint Frankfurt,de Bundesliga,L 1-3,Y,90,0,1,1,0,0,0,0,3,0.0,0.0,1,33.3,24.2,0,9,12,75.0,1,1,1,1,1,131,40,4,6,66.7,4,5,80.0,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,25,1,4,7,14,2,25,1,0,0,0,1,0,1,0.0,1,1,0,1,0,1,1,0,0,0,0,1,1,"FW,MF",Match Report
24,Andrej Kramarić,2,43,2,0,0,61,0,2024-08-31,33-073,hr CRO,Hoffenheim,@,Eint Frankfurt,de Bundesliga,L 1-3,Y,90,1,0,1,1,0,0,0,2,0.5,1.0,1,50.0,11.7,0,43,56,76.8,0,2,1,0,6,711,115,23,25,92.0,12,18,66.7,5,8,62.5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,61,3,4,22,35,3,61,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,0,0,0,0,1,"MF,FW",Match Report
25,Alexander Prass,1,32,1,0,0,51,0,2024-08-31,23-097,at AUT,Hoffenheim,@,Eint Frankfurt,de Bundesliga,L 1-3,Y,72,0,0,0,0,0,0,0,1,0.0,,0,0.0,22.2,0,32,49,65.3,1,1,2,1,3,553,153,11,12,91.7,16,22,72.7,3,9,33.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,51,1,10,22,21,1,51,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,DF,Match Report
26,Kevin Akpoguma,0,66,3,0,1,76,2,2024-08-31,29-134,ng NGA,Hoffenheim,@,Eint Frankfurt,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,66,69,95.7,0,13,0,0,7,1206,466,25,25,100.0,35,36,97.2,5,7,71.4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,76,5,25,44,7,0,76,2,1,1,1,0,2,2,100.0,0,2,2,0,0,2,0,0,1,0,0,1,3,DF,Match Report
27,Haris Tabakovic,0,0,0,0,0,0,0,2024-08-31,30-072,ba BIH,Hoffenheim,@,Eint Frankfurt,de Bundesliga,L 1-3,N,6,0,0,0,0,0,0,0,0,,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,FW,Match Report
28,Pavel Kadeřábek,0,29,2,1,0,52,1,2024-08-31,32-128,cz CZE,Hoffenheim,@,Eint Frankfurt,de Bundesliga,L 1-3,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,29,46,63.0,0,3,0,0,1,372,150,21,25,84.0,7,11,63.6,1,7,14.3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,52,2,12,18,22,2,52,1,0,1,0,0,1,3,33.3,2,0,0,0,2,3,2,0,0,0,0,2,2,DF,Match Report
29,Grischa Prömel,0,43,0,0,0,53,0,2024-08-31,29-235,de GER,Hoffenheim,@,Eint Frankfurt,de Bundesliga,L 1-3,Y,84,0,0,0,0,0,0,0,0,,,0,,,0,43,52,82.7,0,3,0,0,3,682,119,22,24,91.7,21,25,84.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,7,39,9,0,53,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0,0,0,0,0,MF,Match Report
30,Robin Hranáč,0,17,1,0,0,24,0,2024-08-31,24-215,cz CZE,Hoffenheim,@,Eint Frankfurt,de Bundesliga,L 1-3,N,45,0,0,0,0,0,0,0,0,,,0,,,0,17,21,81.0,0,5,0,0,2,334,86,5,7,71.4,10,11,90.9,2,3,66.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,2,6,18,0,0,24,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,1,0,0,0,2,0,DF,Match Report
