Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
21,Tim Oermann,0,4,0,0,0,6,0,2024-08-31,20-330,de GER,Bochum,,Gladbach,de Bundesliga,L 0-2,N,10,0,0,0,0,0,0,0,0,,,0,,,0,4,5,80.0,0,0,0,0,1,88,24,0,0,,4,5,80.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,DF,Match Report
22,Myron Boadu,1,6,1,0,0,10,0,2024-08-31,23-230,nl NED,Bochum,,Gladbach,de Bundesliga,L 0-2,N,45,0,0,0,0,0,0,0,1,0.0,,0,0.0,13.5,0,6,8,75.0,1,0,0,0,0,81,5,2,4,50.0,3,3,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,1,8,2,10,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,FW,Match Report
23,Felix Passlack,0,32,1,0,0,58,0,2024-08-31,26-094,de GER,Bochum,,Gladbach,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,32,47,68.1,0,0,0,0,3,564,156,15,16,93.8,13,21,61.9,4,8,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,58,5,14,32,14,0,58,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,3,0,0,0,0,2,0,"DF,MF",Match Report
24,Jakov Medić,0,37,0,0,0,56,1,2024-08-31,25-359,hr CRO,Bochum,,Gladbach,de Bundesliga,L 0-2,Y,80,0,0,0,0,0,0,0,0,,,0,,,0,37,44,84.1,0,0,0,0,1,666,178,11,13,84.6,25,28,89.3,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,11,29,23,4,2,56,1,1,1,0,0,1,1,100.0,0,2,0,2,0,1,6,1,0,0,0,0,0,DF,Match Report
25,Aliou Badara Baldé,3,7,2,0,0,25,0,2024-08-31,21-263,gn GUI,Bochum,,Gladbach,de Bundesliga,L 0-2,N,45,0,0,0,0,0,0,0,3,0.0,0.0,1,33.3,28.0,0,7,13,53.8,1,0,2,1,1,133,44,3,5,60.0,4,6,66.7,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,11,15,1,25,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,"MF,FW",Match Report
26,Philipp Hofmann,3,9,0,0,0,22,0,2024-08-31,31-154,de GER,Bochum,,Gladbach,de Bundesliga,L 0-2,Y,64,0,0,0,0,0,0,0,3,0.0,,0,0.0,14.6,0,9,19,47.4,0,0,0,0,0,104,22,7,12,58.3,2,6,33.3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,11,11,4,22,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0,0,0,2,1,FW,Match Report
27,Lukas Daschner,1,6,1,0,0,11,1,2024-08-31,25-335,de GER,Bochum,,Gladbach,de Bundesliga,L 0-2,N,26,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,20.7,0,6,7,85.7,0,0,0,0,0,138,42,3,3,100.0,0,1,0.0,2,2,100.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,1,3,7,1,11,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,"MF,FW",Match Report
28,Erhan Mašović,2,51,1,0,0,64,1,2024-08-31,25-283,rs SRB,Bochum,,Gladbach,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,2,0.0,0.0,1,50.0,16.3,0,51,55,92.7,0,5,0,0,12,1208,542,8,9,88.9,33,34,97.1,10,12,83.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,64,11,27,33,4,2,64,1,1,1,0,0,1,2,50.0,1,3,2,1,0,1,3,0,0,0,0,0,1,DF,Match Report
29,Patrick Drewes,0,28,0,0,0,45,0,2024-08-31,31-209,de GER,Bochum,,Gladbach,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,28,41,68.3,0,1,0,0,0,823,684,9,9,100.0,9,9,100.0,10,22,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,30,45,0,0,0,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,GK,Match Report
30,Matúš Bero,0,30,8,0,0,51,5,2024-08-31,28-360,sk SVK,Bochum,,Gladbach,de Bundesliga,L 0-2,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,30,42,71.4,3,5,3,2,5,538,199,14,17,82.4,12,18,66.7,4,6,66.7,8,5,2,0,0,1,0,0,0,0,0,0,0,0,51,3,5,21,27,0,51,5,3,2,0,3,4,8,50.0,4,1,0,1,0,5,1,0,0,0,0,0,3,MF,Match Report
