Rk,Player,Sh,Cmp,SCA,GCA,CrdY,Touches,Tkl,Date,Age,Nation,Team,Team.1,Opp,Comp,Result,Start,Min,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_PKm,Standard_Sh,Standard_G/Sh,Standard_G/SoT,Standard_SoT,Standard_SoT%,Standard_Dist,Standard_FK,Total_Cmp,Total_Att,Total_Cmp%,Total_KP,Total_2025-01-03 00:00:00,Total_PPA,Total_CrsPA,Total_PrgP,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Long_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,SCA Types_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Pos.,Performance_Match Report
21,Jonathan Clauss,3,36,4,1,0,62,6,2024-08-25,31-335,fr FRA,Nice,,Toulouse,fr Ligue 1,D 1-1,Y,90,1,0,1,1,0,0,0,3,0.33,1.0,1,33.3,18.0,1,36,47,76.6,1,3,0,0,4,635,244,14,16,87.5,19,24,79.2,3,6,50.0,4,2,2,0,0,0,0,1,1,0,0,0,0,0,62,3,11,32,19,4,62,6,4,2,4,0,4,5,80.0,1,1,0,1,1,7,2,0,0,0,0,2,0,"DF,MF",Match Report
22,Tanguy Ndombele,1,23,3,0,0,46,2,2024-08-25,27-241,fr FRA,Nice,,Toulouse,fr Ligue 1,D 1-1,Y,78,0,0,0,0,0,0,0,1,0.0,,0,0.0,14.0,0,23,28,82.1,2,1,0,0,3,369,160,12,15,80.0,11,12,91.7,0,0,,3,1,0,2,0,0,0,0,0,0,0,0,0,0,46,1,5,34,7,3,46,2,1,0,2,0,2,3,66.7,1,5,0,5,0,2,0,0,0,0,0,1,3,MF,Match Report
23,Youssouf Ndayishimiye,0,5,0,0,0,9,0,2024-08-25,25-303,bi BDI,Nice,,Toulouse,fr Ligue 1,D 1-1,N,1,0,0,0,0,0,0,0,0,,,0,,,0,5,8,62.5,0,1,0,0,0,88,17,1,2,50.0,4,5,80.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,6,1,0,9,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,DF,Match Report
24,Evann Guessand,2,15,1,0,0,29,1,2024-08-25,23-055,ci CIV,Nice,,Toulouse,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,2,0.0,,0,0.0,10.3,0,15,16,93.8,0,1,0,0,2,256,38,10,10,100.0,4,4,100.0,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,19,12,5,29,1,0,0,1,0,0,0,,0,1,0,1,1,2,0,0,0,0,0,1,6,"FW,MF",Match Report
25,Moïse Bombito,0,69,0,0,0,92,0,2024-08-25,24-148,ca CAN,Nice,,Toulouse,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,69,80,86.3,0,2,0,0,5,1322,616,22,24,91.7,42,44,95.5,5,11,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,10,54,37,1,0,92,0,0,0,0,0,0,1,0.0,1,3,3,0,1,1,4,1,0,0,0,0,1,DF,Match Report
26,Marcin Bułka,0,31,0,0,0,35,0,2024-08-25,24-326,pl POL,Nice,,Toulouse,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,0,,,0,,,0,31,34,91.2,0,0,0,0,0,562,272,15,15,100.0,12,12,100.0,4,7,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,26,35,0,0,0,35,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,GK,Match Report
27,Mohamed Ali Cho,1,17,6,0,0,36,0,2024-08-25,20-219,fr FRA,Nice,,Toulouse,fr Ligue 1,D 1-1,Y,77,0,0,0,0,0,0,0,1,0.0,0.0,1,100.0,18.9,0,17,24,70.8,2,0,1,0,2,222,79,12,14,85.7,1,5,20.0,2,2,100.0,6,1,2,1,0,2,0,0,0,0,0,0,0,0,36,0,1,13,22,3,36,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0,0,0,0,3,"FW,MF",Match Report
28,Hicham Boudaoui,0,34,4,1,0,57,2,2024-08-25,24-337,dz ALG,Nice,,Toulouse,fr Ligue 1,D 1-1,Y,90,0,1,1,0,0,0,0,0,,,0,,,0,34,44,77.3,1,1,2,0,5,495,177,16,21,76.2,17,19,89.5,0,0,,4,4,0,0,0,0,0,1,1,0,0,0,0,0,57,2,16,29,13,1,57,2,0,2,0,0,0,3,0.0,3,1,0,1,1,3,1,0,0,0,0,0,2,MF,Match Report
29,Jordan Lotomba,0,4,1,0,0,6,0,2024-08-25,25-331,ch SUI,Nice,,Toulouse,fr Ligue 1,D 1-1,N,8,0,0,0,0,0,0,0,0,,,0,,,0,4,4,100.0,0,1,0,0,1,89,31,1,1,100.0,3,3,100.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,5,0,0,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,1,0,"MF,DF",Match Report
30,Dante,1,54,0,0,1,76,1,2024-08-25,40-312,br BRA,Nice,,Toulouse,fr Ligue 1,D 1-1,Y,90,0,0,0,0,0,0,0,1,0.0,,0,0.0,10.9,0,54,65,83.1,0,3,1,0,1,956,392,23,24,95.8,29,31,93.5,2,7,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,9,42,32,2,1,76,1,0,0,1,0,1,1,100.0,0,1,1,0,0,1,4,0,1,0,0,1,1,DF,Match Report
